pais_id,pais,año,mes,ccp,producto,distribución,unidad_med_distribución,consumo_per_cápita,uni_med_consumu_id,uni_med_consumo _per_capita
32,Argentina,2004,4,22110,Leche chocolatada,2025.29,Miles de litros,0.05,l,Litros
32,Argentina,2004,5,22110,Leche pasteurizada,86784.73,Miles de litros,2.28,l,Litros
32,Argentina,2004,5,22110,Leche esterilizada,43239.01,Miles de litros,1.14,l,Litros
32,Argentina,2004,5,22110,Leche chocolatada,3315.69,Miles de litros,0.09,l,Litros
32,Argentina,2004,6,22110,Leche pasteurizada,91280.55,Miles de litros,2.4,l,Litros
32,Argentina,2004,6,22110,Leche esterilizada,44697.84,Miles de litros,1.17,l,Litros
32,Argentina,2004,6,22110,Leche chocolatada,712.26,Miles de litros,0.02,l,Litros
32,Argentina,2004,7,22110,Leche pasteurizada,91672.13,Miles de litros,2.41,l,Litros
32,Argentina,2004,7,22110,Leche esterilizada,30644.63,Miles de litros,0.8,l,Litros
32,Argentina,2004,7,22110,Leche chocolatada,1058.61,Miles de litros,0.03,l,Litros
32,Argentina,2004,8,22110,Leche pasteurizada,92479.09,Miles de litros,2.43,l,Litros
32,Argentina,2004,8,22110,Leche esterilizada,30056.56,Miles de litros,0.79,l,Litros
32,Argentina,2004,8,22110,Leche chocolatada,1543.1,Miles de litros,0.04,l,Litros
32,Argentina,2004,9,22110,Leche pasteurizada,85855.26,Miles de litros,2.25,l,Litros
32,Argentina,2004,9,22110,Leche esterilizada,29840.1,Miles de litros,0.78,l,Litros
32,Argentina,2004,9,22110,Leche chocolatada,1514.04,Miles de litros,0.04,l,Litros
32,Argentina,2004,10,22110,Leche pasteurizada,87934.9,Miles de litros,2.3,l,Litros
32,Argentina,2004,10,22110,Leche esterilizada,34063.91,Miles de litros,0.89,l,Litros
32,Argentina,2004,10,22110,Leche chocolatada,1181.44,Miles de litros,0.03,l,Litros
32,Argentina,2004,11,22110,Leche pasteurizada,88501.34,Miles de litros,2.32,l,Litros
32,Argentina,2004,11,22110,Leche esterilizada,32698.03,Miles de litros,0.86,l,Litros
32,Argentina,2004,11,22110,Leche chocolatada,1783.78,Miles de litros,0.05,l,Litros
32,Argentina,2004,12,22110,Leche pasteurizada,91714.63,Miles de litros,2.4,l,Litros
32,Argentina,2004,12,22110,Leche esterilizada,33554.28,Miles de litros,0.88,l,Litros
32,Argentina,2004,12,22110,Leche chocolatada,2623.78,Miles de litros,0.07,l,Litros
32,Argentina,2005,1,22110,Leche pasteurizada,87792.72,Miles de litros,2.29,l,Litros
32,Argentina,2005,1,22110,Leche esterilizada,43760.85,Miles de litros,1.14,l,Litros
32,Argentina,2005,1,22110,Leche chocolatada,3512.39,Miles de litros,0.09,l,Litros
32,Argentina,2005,2,22110,Leche pasteurizada,89889.71,Miles de litros,2.35,l,Litros
32,Argentina,2005,2,22110,Leche esterilizada,31380.36,Miles de litros,0.82,l,Litros
32,Argentina,2005,2,22110,Leche chocolatada,2382.23,Miles de litros,0.06,l,Litros
32,Argentina,2005,3,22110,Leche pasteurizada,101230.14,Miles de litros,2.64,l,Litros
32,Argentina,2005,3,22110,Leche esterilizada,35360.87,Miles de litros,0.92,l,Litros
32,Argentina,2005,3,22110,Leche chocolatada,3162.2,Miles de litros,0.08,l,Litros
32,Argentina,2005,4,22110,Leche pasteurizada,94169.44,Miles de litros,2.46,l,Litros
32,Argentina,2005,4,22110,Leche esterilizada,34440.49,Miles de litros,0.9,l,Litros
32,Argentina,2005,4,22110,Leche chocolatada,2942.23,Miles de litros,0.08,l,Litros
32,Argentina,2005,5,22110,Leche pasteurizada,98741.78,Miles de litros,2.57,l,Litros
