pais_id,pais,año,mes,ccp,producto,distribución,unidad_med_distribución_id,unidad_med_distribución,consumo_per_cápita,uni_med_consumu_id,uni_med_consumo _per_capita
32,Argentina,2000,11,22241,Manteca,1559.93,t,Toneladas,0.04,kg,Kilogramos
32,Argentina,2000,11,22230,Yogur ,24481.44,t,Toneladas,0.66,kg,Kilogramos
32,Argentina,2000,11,22290,Postres lacteos y flanes,1683,t,Toneladas,0.05,kg,Kilogramos
32,Argentina,2000,12,22211,Leche en polvo entera ,36821.15,t,Toneladas,1,kg,Kilogramos
32,Argentina,2000,12,22212,Leche en polvo descremada,8103.84,t,Toneladas,0.22,kg,Kilogramos
32,Argentina,2000,12,22251,Quesos de baja humedad (pasta dura),22608.74,t,Toneladas,0.61,kg,Kilogramos
32,Argentina,2000,12,22251,Quesos de mediana humedad (pasta semidura),22919.94,t,Toneladas,0.62,kg,Kilogramos
32,Argentina,2000,12,22251,Quesos de alta humedad (pasta blanda),29273.31,t,Toneladas,0.8,kg,Kilogramos
32,Argentina,2000,12,22251,Queso fundido,2017.66,t,Toneladas,0.05,kg,Kilogramos
32,Argentina,2000,12,22222,Dulce de leche,12439.04,t,Toneladas,0.34,kg,Kilogramos
32,Argentina,2000,12,22120,Crema,3208.7,t,Toneladas,0.09,kg,Kilogramos
32,Argentina,2000,12,22222,Leche condensada,948.6,t,Toneladas,0.03,kg,Kilogramos
32,Argentina,2000,12,22241,Manteca,2759.1,t,Toneladas,0.08,kg,Kilogramos
32,Argentina,2000,12,22230,Yogur ,33897.16,t,Toneladas,0.92,kg,Kilogramos
32,Argentina,2000,12,22290,Postres lacteos y flanes,1904,t,Toneladas,0.05,kg,Kilogramos
32,Argentina,2001,1,22211,Leche en polvo entera ,4985.78,t,Toneladas,0.14,kg,Kilogramos
32,Argentina,2001,1,22212,Leche en polvo descremada,1346.79,t,Toneladas,0.04,kg,Kilogramos
32,Argentina,2001,1,22251,Quesos de baja humedad (pasta dura),3953.38,t,Toneladas,0.11,kg,Kilogramos
32,Argentina,2001,1,22251,Quesos de mediana humedad (pasta semidura),11409.8,t,Toneladas,0.31,kg,Kilogramos
32,Argentina,2001,1,22251,Quesos de alta humedad (pasta blanda),18172.98,t,Toneladas,0.49,kg,Kilogramos
32,Argentina,2001,1,22251,Queso fundido,1646.68,t,Toneladas,0.04,kg,Kilogramos
32,Argentina,2001,1,22222,Dulce de leche,6910.91,t,Toneladas,0.19,kg,Kilogramos
32,Argentina,2001,1,22120,Crema,2869.24,t,Toneladas,0.08,kg,Kilogramos
32,Argentina,2001,1,22222,Leche condensada,113.08,t,Toneladas,0,kg,Kilogramos
32,Argentina,2001,1,22241,Manteca,2554.15,t,Toneladas,0.07,kg,Kilogramos
32,Argentina,2001,1,22230,Yogur ,27420.37,t,Toneladas,0.74,kg,Kilogramos
32,Argentina,2001,1,22290,Postres lacteos y flanes,1451,t,Toneladas,0.04,kg,Kilogramos
32,Argentina,2001,2,22211,Leche en polvo entera ,9307.84,t,Toneladas,0.25,kg,Kilogramos
32,Argentina,2001,2,22212,Leche en polvo descremada,2034.44,t,Toneladas,0.06,kg,Kilogramos
32,Argentina,2001,2,22251,Quesos de baja humedad (pasta dura),3364.94,t,Toneladas,0.09,kg,Kilogramos
32,Argentina,2001,2,22251,Quesos de mediana humedad (pasta semidura),9617.7,t,Toneladas,0.26,kg,Kilogramos
32,Argentina,2001,2,22251,Quesos de alta humedad (pasta blanda),17344.87,t,Toneladas,0.47,kg,Kilogramos
32,Argentina,2001,2,22251,Queso fundido,98.8,t,Toneladas,0,kg,Kilogramos
32,Argentina,2001,2,22222,Dulce de leche,8699.72,t,Toneladas,0.24,kg,Kilogramos
32,Argentina,2001,2,22120,Crema,2234.83,t,Toneladas,0.06,kg,Kilogramos
32,Argentina,2001,2,22222,Leche condensada,1524.04,t,Toneladas,0.04,kg,Kilogramos
32,Argentina,2001,2,22241,Manteca,3079.4,t,Toneladas,0.08,kg,Kilogramos
